Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
ANU.Fieldwork,,2019-01-13,351.92667706708266,500.9266770670826,738.5678627145086,709.0936037441498,847.4071762870515,898.7410296411856,1020.6177847113885,964.6895475819033,1183.6224648985958,1066.7581903276132,1447.4726989079563,1101.1731669266771,9034.527032073598
ANU.Fieldwork,,2019-01-13,465.80645161290323,564.7741935483871,805.7096774193548,971.9032258064517,1440.1290322580644,2223.741935483871,2571.935483870968,2624.7096774193546,3018.3870967741937,2942.41935483871,3545.4193548387098,2366.1290322580644,423.64634976422667
ANU.Fieldwork,,2019-01-13,615.5,861.3157894736844,1192.8947368421052,1605.1315789473683,2039.9736842105265,2440.2105263157896,2732.3947368421054,2873.9473684210525,3148.5263157894738,3190.9473684210525,5519.368421052632,4200.71052631579,500.6150209839162
ANU.Fieldwork,,2019-01-13,1060.0,1244.0,1517.0,1836.0,2158.0,2462.0,2631.0,2709.0,3842.0,2822.0,3695.0,3101.0,90.46206559776525
ANU.Fieldwork,,2019-01-13,560.0,780.0,1086.0,1470.0,1854.0,2400.0,2673.0,2840.0,2910.0,2979.0,4014.0,3243.0,211.0485224921462
ANU.Fieldwork,,2019-01-13,635.6521739130434,862.0434782608695,1123.5652173913045,1337.8695652173913,1652.608695652174,1900.695652173913,2136.0,2154.913043478261,2332.0,2225.086956521739,2766.9565217391305,2166.304347826087,1300.7069440613416
ANU.Fieldwork,,2019-01-13,586.0,860.0,1211.0,1580.0,1956.0,2279.0,2500.0,2546.0,2750.0,2750.0,3950.0,3127.0,79.26859783063512
ANU.Fieldwork,,2019-01-13,593.0,828.0,1202.0,1461.0,1886.0,2216.0,2455.0,2416.0,2660.0,2605.0,3618.0,2757.0,366.50723084120966
ANU.Fieldwork,,2019-01-13,464.13559322033905,629.7627118644068,863.0847457627118,1021.6101694915254,1369.8305084745762,1933.4745762711866,2210.898305084746,2257.2203389830506,2304.6271186440677,2433.4915254237285,2780.271186440678,1898.8983050847457,1744.4017041054378
ANU.Fieldwork,,2019-01-13,530.0,809.0,1108.0,1375.0,1673.0,2053.0,2303.0,2333.0,2462.0,2572.0,3812.0,2932.0,226.95664876341755
ANU.Fieldwork,,2019-01-13,491.58495145631076,569.9174757281553,827.0873786407766,890.8398058252427,1118.8300970873786,1241.6723300970873,1330.4101941747572,1302.4077669902913,2010.3980582524273,1447.3834951456313,2064.8228155339807,1561.157766990291,5685.83283675502
